Breed,Image URL,Male Avg Weight,Female Avg Weight
Affenpinschers,API Error,8.5,8.5
Afghan Hounds,API Error,55.0,55.0
Airedale Terriers,API Error,60.0,60.0
Akitas,API Error,115.0,85.0
Alaskan Malamutes,API Error,85.0,75.0
American English Coonhounds,API Error,55.0,55.0
American Eskimo Dogs,API Error,,
American Foxhounds,API Error,67.5,62.5
American Hairless Terriers,API Error,14.0,14.0
American Staffordshire Terriers,API Error,62.5,47.5
Anatolian Shepherd Dogs,API Error,130.0,100.0
Australian Cattle Dogs,API Error,42.5,42.5
Australian Shepherds,API Error,57.5,47.5
Australian Terriers,API Error,17.5,17.5
Azawakh,API Error,50.0,38.5
Barbets,API Error,50.0,50.0
Basenjis,API Error,24.0,22.0
Basset Hounds,API Error,52.5,52.5
Beagles,API Error,,
Bearded Collies,API Error,50.0,50.0
Beaucerons,API Error,90.0,90.0
Bedlington Terriers,API Error,20.0,20.0
Belgian Laekenois,API Error,60.0,60.0
Belgian Malinois,API Error,70.0,50.0
Belgian Sheepdogs,API Error,65.0,52.5
Belgian Tervuren,API Error,65.0,52.5
Bergamasco,API Error,77.0,64.0
Berger Picards,API Error,60.0,60.0
Bernese Mountain Dogs,API Error,97.5,82.5
Bichons Frises,API Error,15.0,15.0
Biewer Terriers,API Error,6.0,6.0
Black and Tan Coonhounds,API Error,87.5,87.5
Black Russian Terriers,API Error,105.0,105.0
Bloodhounds,API Error,100.0,90.0
Bluetick Coonhounds,API Error,67.5,55.0
Boerboels,API Error,175.0,175.0
Border Collies,API Error,42.5,42.5
Border Terriers,API Error,,
Borzois,API Error,90.0,72.5
Boston Terriers,API Error,18.5,18.5
Bouviers des Flandres,API Error,90.0,90.0
Boxers,API Error,72.5,
Bracco Italiano,API Error,72.5,72.5
Briards,API Error,77.5,77.5
Brittanys,API Error,35.0,35.0
Brussels Griffons,API Error,9.0,9.0
Bull Terriers,API Error,60.0,60.0
Bulldogs,API Error,50.0,40.0
Bullmastiffs,API Error,120.0,110.0
Cairn Terriers,API Error,14.0,13.0
Canaan Dogs,API Error,50.0,40.0
Cane Corso,API Error,,
Cardigan Welsh Corgis,API Error,34.0,29.5
Cavalier King Charles Spaniels,API Error,15.5,15.5
Cesky Terriers,API Error,19.0,19.0
Chihuahuas,API Error,,
Chinese Crested,API Error,10.0,10.0
Chinese Shar-Pei,API Error,52.5,52.5
Chinooks,API Error,72.5,57.5
Chow Chows,API Error,57.5,57.5
Cirnechi dellâ€™Etna,API Error,24.0,19.5
Cocker Spaniels,API Error,27.5,22.5
Collies,API Error,67.5,57.5
Coton de Tulear,API Error,12.0,10.5
Dachshunds,API Error,,
Dalmatians,API Error,57.5,57.5
Dandie Dinmont Terriers,API Error,21.0,21.0
Doberman Pinschers,API Error,87.5,75.0
Dogo Argentino,API Error,65.0,65.0
Dogues de Bordeaux,API Error,,
English Foxhounds,API Error,67.5,67.5
English Toy Spaniels,API Error,11.0,11.0
Entlebucher Mountain Dogs,API Error,57.5,47.5
Finnish Lapphunds,API Error,43.0,43.0
Finnish Spitz,API Error,29.0,24.0
Fox Terriers (Smooth),API Error,18.0,16.0
Fox Terriers (Wire),API Error,118.0,16.0
French Bulldogs,API Error,,
German Pinschers,API Error,35.0,35.0
German Shepherd Dogs,API Error,77.5,60.0
Giant Schnauzers,API Error,72.5,65.0
Glen of Imaal Terriers,API Error,36.0,36.0
Grand Basset Griffon Vendeen,API Error,42.5,42.5
Great Danes,API Error,157.5,125.0
Great Pyrenees,API Error,,
Greater Swiss Mountain Dogs,API Error,127.5,97.5
Greyhounds,API Error,67.5,62.5
Harriers,API Error,52.5,52.5
Havanese,https://images.dog.ceo/breeds/havanese/00100trPORTRAIT_00100_BURST20191103202017556_COVER.jpg,10.0,10.0
Ibizan Hounds,API Error,50.0,45.0
Icelandic Sheepdogs,API Error,30.0,25.0
Irish Terriers,API Error,27.0,25.0
Irish Wolfhounds,API Error,120.0,105.0
Italian Greyhounds,API Error,10.5,10.5
Japanese Chin,API Error,9.0,9.0
Keeshonden,API Error,40.0,40.0
Kerry Blue Terriers,API Error,36.5,
Komondorok,API Error,,
Kuvaszok,API Error,107.5,80.0
Lagotti Romagnoli,API Error,,27.5
Lakeland Terriers,API Error,17.0,
Leonbergers,API Error,140.0,115.0
Lhasa Apsos,API Error,15.0,15.0
Lowchen,API Error,15.0,15.0
Maltese,https://images.dog.ceo/breeds/maltese/n02085936_7198.jpg,,
Manchester Terriers,API Error,,
Mastiffs,API Error,195.0,145.0
Miniature American Shepherds,API Error,30.0,30.0
Miniature Bull Terriers,API Error,23.0,23.0
Miniature Pinschers,API Error,9.0,9.0
Miniature Schnauzers,API Error,15.5,15.5
Mudi,API Error,23.5,23.5
Neapolitan Mastiffs,API Error,150.0,110.0
Nederlandse Kooikerhondje,API Error,25.0,25.0
Newfoundlands,API Error,140.0,110.0
Norfolk Terriers,API Error,11.5,11.5
Norwegian Buhunds,API Error,35.5,30.5
Norwegian Elkhounds,API Error,55.0,48.0
Norwegian Lundehunds,API Error,25.0,25.0
Norwich Terriers,API Error,12.0,12.0
Old English Sheepdogs,API Error,80.0,80.0
Otterhounds,API Error,115.0,80.0
Papillons,API Error,7.5,7.5
Parson Russell Terriers,API Error,15.0,15.0
Pekingese,API Error,,
Pembroke Welsh Corgis,API Error,,
Petits Bassets Griffons Vendeens,API Error,32.5,32.5
Pharaoh Hounds,API Error,50.0,50.0
Plotts,API Error,55.0,47.5
Pointers,API Error,65.0,55.0
Pointers (German Shorthaired),API Error,62.5,52.5
Pointers (German Wirehaired),API Error,60.0,60.0
Polish Lowland Sheepdogs,API Error,40.0,40.0
Pomeranians,API Error,5.0,5.0
Poodles,API Error,,
Portuguese Podengo Pequenos,API Error,11.0,11.0
Portuguese Water Dogs,API Error,51.0,42.5
Pugs,API Error,16.0,16.0
Pulik,API Error,30.0,30.0
Pumik,API Error,28.0,23.0
Pyrenean Shepherds,API Error,22.5,22.5
Rat Terriers,API Error,17.5,17.5
Redbone Coonhounds,API Error,57.5,57.5
Retrievers (Chesapeake Bay),API Error,72.5,62.5
Retrievers (Curly-Coated),API Error,77.5,77.5
Retrievers (Flat-Coated),API Error,65.0,65.0
Retrievers (Golden),API Error,70.0,60.0
Retrievers (Labrador),API Error,72.5,62.5
Retrievers (Nova Scotia Duck Tolling),API Error,42.5,42.5
Rhodesian Ridgebacks,API Error,85.0,70.0
Rottweilers,API Error,115.0,90.0
Russell Terriers,API Error,12.0,12.0
Russian Toys,API Error,,
Salukis,API Error,52.5,52.5
Samoyeds,API Error,55.0,42.5
Schipperkes,API Error,13.0,13.0
Scottish Deerhounds,API Error,97.5,85.0
Scottish Terriers,API Error,20.5,19.5
Sealyham Terriers,API Error,23.5,
Setters (English),API Error,72.5,50.0
Setters (Gordon),API Error,67.5,57.5
Setters (Irish Red and White),API Error,51.0,42.5
Setters (Irish),API Error,70.0,60.0
Shetland Sheepdogs,API Error,20.0,20.0
Shiba Inu,API Error,23.0,17.0
Shih Tzu,API Error,12.5,12.5
Siberian Huskies,API Error,52.5,42.5
Silky Terriers,API Error,,
Skye Terriers,API Error,40.0,
Sloughis,API Error,42.5,42.5
Soft Coated Wheaten Terriers,API Error,37.5,32.5
Spaniels (American Water),API Error,37.5,32.5
Spaniels (Boykin),API Error,35.0,30.0
Spaniels (Clumber),API Error,77.5,62.5
Spaniels (English Cocker),API Error,31.0,29.0
Spaniels (English Springer),API Error,50.0,40.0
Spaniels (Field),API Error,42.5,42.5
Spaniels (Irish Water),API Error,61.5,51.5
Spaniels (Sussex),API Error,40.0,40.0
Spaniels (Welsh Springer),API Error,47.5,42.5
Spanish Water Dogs,API Error,44.5,35.5
Spinoni Italiani,API Error,,
St. Bernards,API Error,160.0,130.0
Staffordshire Bull Terriers,API Error,33.0,
Standard Schnauzers,API Error,42.5,37.5
Swedish Vallhunds,API Error,27.5,27.5
Tibetan Mastiffs,API Error,120.0,95.0
Tibetan Terriers,API Error,24.0,
Tibetan Spaniel,API Error,12.0,12.0
Toy Fox Terriers,API Error,6.5,6.5
Treeing Walker Coonhounds,API Error,60.0,60.0
Vizslas,API Error,57.5,49.5
Weimaraners,API Error,80.0,65.0
Welsh Terriers,API Error,20.0,
West Highland White Terriers,API Error,17.5,17.5
Whippets,API Error,32.5,32.5
Wirehaired Pointing Griffons,API Error,60.0,42.5
Wirehaired Vizslas,API Error,60.0,50.0
Xoloitzcuintli,API Error,,
Yorkshire Terriers,API Error,7.0,7.0
